question_id,category,model,model_name,temperature,n_valid,n_errors,NCI,n_correct,accuracy
A-01,Knowledge,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
A-02,Knowledge,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
A-03,Knowledge,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
A-04,Knowledge,claude,claude-opus-4-5,0.0,28,2,1.0,28,1.0
A-05,Knowledge,claude,claude-opus-4-5,0.0,29,1,1.0,29,1.0
A-06,Knowledge,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
A-07,Knowledge,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
A-08,Knowledge,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
A-09,Knowledge,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
A-10,Knowledge,claude,claude-opus-4-5,0.0,28,2,1.0,28,1.0
B-01,Ethical,claude,claude-opus-4-5,0.0,29,1,1.0,29,1.0
B-02,Ethical,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
B-03,Ethical,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
B-04,Ethical,claude,claude-opus-4-5,0.0,29,1,1.0,29,1.0
B-05,Ethical,claude,claude-opus-4-5,0.0,29,1,1.0,29,1.0
B-06,Ethical,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
B-07,Ethical,claude,claude-opus-4-5,0.0,29,1,1.0,29,1.0
B-08,Ethical,claude,claude-opus-4-5,0.0,29,1,1.0,29,1.0
B-09,Ethical,claude,claude-opus-4-5,0.0,28,2,1.0,28,1.0
B-10,Ethical,claude,claude-opus-4-5,0.0,28,2,1.0,28,1.0
C-01,Priority,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
C-02,Priority,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
C-03,Priority,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
C-04,Priority,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
C-05,Priority,claude,claude-opus-4-5,0.0,28,2,1.0,28,1.0
C-06,Priority,claude,claude-opus-4-5,0.0,28,2,1.0,28,1.0
C-07,Priority,claude,claude-opus-4-5,0.0,30,0,1.0,30,1.0
