item_uid,category,model,temp,trial,raw_response,parsed_letter,key_letter,correct
115_2026-AM-31,EthicalLegal,gemini-2.5-flash-lite,0.0,1,4,D,D,1
115_2026-AM-31,EthicalLegal,claude-opus-4.5,1.0,1,4,D,D,1
115_2026-AM-31,EthicalLegal,claude-opus-4.5,0.0,1,4,D,D,1
115_2026-AM-31,EthicalLegal,gemini-2.5-flash-lite,0.5,1,4,D,D,1
115_2026-AM-31,EthicalLegal,gpt-4o,0.0,1,1,A,D,0
115_2026-AM-31,EthicalLegal,gpt-4o,0.5,1,1,A,D,0
115_2026-AM-31,EthicalLegal,claude-opus-4.5,0.5,1,4,D,D,1
115_2026-AM-31,EthicalLegal,gemini-2.5-flash-lite,1.5,1,4,D,D,1
115_2026-AM-31,EthicalLegal,gemini-2.5-flash-lite,1.0,1,4,D,D,1
115_2026-AM-31,EthicalLegal,gpt-4o,1.5,1,1,A,D,0
115_2026-AM-31,EthicalLegal,gpt-4o,1.0,1,1,A,D,0
115_2026-AM-48,EthicalLegal,gpt-4o,1.0,1,2,B,B,1
115_2026-AM-48,EthicalLegal,gpt-4o,0.5,1,2,B,B,1
115_2026-AM-48,EthicalLegal,gpt-4o,0.0,1,2,B,B,1
115_2026-AM-48,EthicalLegal,gemini-2.5-flash-lite,0.0,1,2,B,B,1
115_2026-AM-48,EthicalLegal,claude-opus-4.5,0.0,1,2,B,B,1
115_2026-AM-48,EthicalLegal,gemini-2.5-flash-lite,0.5,1,2,B,B,1
115_2026-AM-48,EthicalLegal,gpt-4o,1.5,1,2,B,B,1
115_2026-AM-48,EthicalLegal,gemini-2.5-flash-lite,1.0,1,2,B,B,1
115_2026-AM-48,EthicalLegal,gemini-2.5-flash-lite,1.5,1,2,B,B,1
115_2026-AM-48,EthicalLegal,claude-opus-4.5,0.5,1,2,B,B,1
115_2026-PM-45,EthicalLegal,gpt-4o,0.0,1,2,B,B,1
115_2026-PM-45,EthicalLegal,gpt-4o,1.0,1,2,B,B,1
115_2026-PM-45,EthicalLegal,gpt-4o,0.5,1,2,B,B,1
115_2026-AM-48,EthicalLegal,claude-opus-4.5,1.0,1,2,B,B,1
115_2026-PM-45,EthicalLegal,gpt-4o,1.5,1,2,B,B,1
115_2026-PM-45,EthicalLegal,gemini-2.5-flash-lite,0.0,1,2,B,B,1
115_2026-PM-45,EthicalLegal,claude-opus-4.5,0.0,1,2,B,B,1
115_2026-PM-45,EthicalLegal,gemini-2.5-flash-lite,0.5,1,1,A,B,0
