model,category,temp,n_items,mean_NCI,mean_accuracy
gpt-4o,Knowledge,0.0,30,1.0,0.9667
gpt-4o,Knowledge,0.5,30,1.0,0.9667
gpt-4o,Knowledge,1.0,30,0.9906,0.9633
gpt-4o,Knowledge,1.5,30,0.9505,0.9522
gpt-4o,Priority,0.0,30,1.0,0.9333
gpt-4o,Priority,0.5,30,0.9812,0.9433
gpt-4o,Priority,1.0,30,0.9619,0.9322
gpt-4o,Priority,1.5,30,0.9234,0.9267
gpt-4o,EthicalLegal,0.0,30,0.9756,0.93
gpt-4o,EthicalLegal,0.5,30,0.9619,0.9211
gpt-4o,EthicalLegal,1.0,30,0.9485,0.93
gpt-4o,EthicalLegal,1.5,30,0.9458,0.9311
claude-opus-4.5,Knowledge,0.0,30,1.0,1.0
claude-opus-4.5,Knowledge,0.5,30,1.0,1.0
claude-opus-4.5,Knowledge,1.0,30,1.0,1.0
claude-opus-4.5,Priority,0.0,30,1.0,0.9667
claude-opus-4.5,Priority,0.5,30,0.9965,0.9656
claude-opus-4.5,Priority,1.0,30,0.9869,0.9589
claude-opus-4.5,EthicalLegal,0.0,30,1.0,0.9667
claude-opus-4.5,EthicalLegal,0.5,30,1.0,0.9667
claude-opus-4.5,EthicalLegal,1.0,30,1.0,0.9667
gemini-2.5-flash-lite,Knowledge,0.0,30,1.0,1.0
gemini-2.5-flash-lite,Knowledge,0.5,30,0.9892,0.9944
gemini-2.5-flash-lite,Knowledge,1.0,30,0.9381,0.9633
gemini-2.5-flash-lite,Knowledge,1.5,30,0.9382,0.9644
gemini-2.5-flash-lite,Priority,0.0,30,1.0,0.8667
gemini-2.5-flash-lite,Priority,0.5,30,0.9809,0.8733
gemini-2.5-flash-lite,Priority,1.0,30,0.95,0.8811
gemini-2.5-flash-lite,Priority,1.5,30,0.922,0.8767
gemini-2.5-flash-lite,EthicalLegal,0.0,30,1.0,0.9333
gemini-2.5-flash-lite,EthicalLegal,0.5,30,0.9906,0.9289
gemini-2.5-flash-lite,EthicalLegal,1.0,30,0.9658,0.9222
gemini-2.5-flash-lite,EthicalLegal,1.5,30,0.9347,0.9044
