item_uid,category,recent,k,key_letter,stem,options,prompt
115_2026-AM-31,EthicalLegal,Y,4,D,法律とその内容の組合せで正しいのはどれか。,児童福祉法 医療的ケア児が在籍する学校への看護師 の配置 | 母子保健法 経済的に困窮した妊産婦の助産施設入所 | アルコール健康障害 20 歳未満の飲酒の禁止 対策基本法 | 障害者虐待の防止、 市町村への通報義務 障害者の養護者に対する 支援等に関する法律 〈障害者虐待防止法〉,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

法律とその内容の組合せで正しいのはどれか。
1. 児童福祉法 医療的ケア児が在籍する学校への看護師 の配置
2. 母子保健法 経済的に困窮した妊産婦の助産施設入所
3. アルコール健康障害 20 歳未満の飲酒の禁止 対策基本法
4. 障害者虐待の防止、 市町村への通報義務 障害者の養護者に対する 支援等に関する法律 〈障害者虐待防止法〉

答え："
115_2026-AM-48,EthicalLegal,Y,4,B,意思決定が困難な成人患者の代理意思決定で適切なのはどれか。,意思決定者を医療者が指名する。 | 患者の意思を推定して判断する。 | 意思決定した内容は変更できない。 | 意思決定者に親しい友人は含まれない。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

意思決定が困難な成人患者の代理意思決定で適切なのはどれか。
1. 意思決定者を医療者が指名する。
2. 患者の意思を推定して判断する。
3. 意思決定した内容は変更できない。
4. 意思決定者に親しい友人は含まれない。

答え："
115_2026-PM-45,EthicalLegal,Y,4,B,がん性疼痛があり医療用麻薬を使用中の在宅療養者の家族への説明で正しいのは どれか。,医療用麻薬は鍵のかかる棚で管理する。 | 貼付剤の交換時は、前回とは違う場所に貼る。 | 医療用麻薬を紛失した場合は、保健所に届け出る。 | 強い痛みを訴えたときは、定時の医療用麻薬の時間を早めて使用する。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

がん性疼痛があり医療用麻薬を使用中の在宅療養者の家族への説明で正しいのは どれか。
1. 医療用麻薬は鍵のかかる棚で管理する。
2. 貼付剤の交換時は、前回とは違う場所に貼る。
3. 医療用麻薬を紛失した場合は、保健所に届け出る。
4. 強い痛みを訴えたときは、定時の医療用麻薬の時間を早めて使用する。

答え："
115_2026-PM-72,EthicalLegal,Y,4,A,病院の医療安全管理者が行う与薬の事故防止対策で適切なのはどれか。,与薬の業務プロセスを見直す。 | 事故を起こした職員の責任を追及する。 | 病棟ごとに与薬マニュアルを作成する。 | 事故の対象となった患者の個人情報を病院内で共有する。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

病院の医療安全管理者が行う与薬の事故防止対策で適切なのはどれか。
1. 与薬の業務プロセスを見直す。
2. 事故を起こした職員の責任を追及する。
3. 病棟ごとに与薬マニュアルを作成する。
4. 事故の対象となった患者の個人情報を病院内で共有する。

答え："
114_2025-AM-61,EthicalLegal,Y,4,D,最も新しく制定された法律はどれか。,母子保健法 | 児童虐待の防止等に関する法律 | 子どもの貧困対策の推進に関する法律 | 医療的ケア児及びその家族に対する支援に関する法律,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

最も新しく制定された法律はどれか。
1. 母子保健法
2. 児童虐待の防止等に関する法律
3. 子どもの貧困対策の推進に関する法律
4. 医療的ケア児及びその家族に対する支援に関する法律

答え："
114_2025-AM-73,EthicalLegal,Y,4,C,精神科病院での行動制限で正しいのはどれか。,家族の同意により身体的拘束を決定する。 | 行動制限最小化委員会は患者の隔離の具体的な内容を決定する。 | 12 時間を超える隔離については、精神保健指定医の判断が必要である。 | 暴力行為があった場合は、当該患者の精神症状が落ち着くまで身体的拘束を する。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

精神科病院での行動制限で正しいのはどれか。
1. 家族の同意により身体的拘束を決定する。
2. 行動制限最小化委員会は患者の隔離の具体的な内容を決定する。
3. 12 時間を超える隔離については、精神保健指定医の判断が必要である。
4. 暴力行為があった場合は、当該患者の精神症状が落ち着くまで身体的拘束を する。

答え："
114_2025-AM-75,EthicalLegal,Y,4,B,診療に関する諸記録に看護記録が含まれることを規定しているのはどれか。,医師法 | 医療法施行規則 | 個人情報の保護に関する法律 | 保健師助産師看護師法施行規則,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

診療に関する諸記録に看護記録が含まれることを規定しているのはどれか。
1. 医師法
2. 医療法施行規則
3. 個人情報の保護に関する法律
4. 保健師助産師看護師法施行規則

答え："
114_2025-PM-29,EthicalLegal,Y,4,C,高齢者虐待の防止、高齢者の養護者に対する支援等に関する法律1高齢者虐待防 止法1⁄4で保護された高齢者が入所する社会福祉施設はどれか。,軽費老人ホーム | 有料老人ホーム | 特別養護老人ホーム | サービス付き高齢者向け住宅,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

高齢者虐待の防止、高齢者の養護者に対する支援等に関する法律1高齢者虐待防 止法1⁄4で保護された高齢者が入所する社会福祉施設はどれか。
1. 軽費老人ホーム
2. 有料老人ホーム
3. 特別養護老人ホーム
4. サービス付き高齢者向け住宅

答え："
113_2024-AM-53,EthicalLegal,Y,4,D,A さん 92 歳、女性!は重度の障害のため体を動かすことができないが、表情な どで意思表示はできる。A さんは食べることが好きで「最期まで口から食べたい」 と言っていた。最近は誤嚥性肺炎で入 退院を繰り返しており、現在は入院中で終末 aspiration pneumonia 期である。同居している家族は積極的な治療をしないことを希望し、自宅でA さ んを看取ることを決めた。 家族への退院時の指導で適切なのはどれか。,「24 時間付き添ってあげましょう」 | 「オムツの重さで尿量を測定しましょう」 | 「A さんの息が苦しそうになったら救急車を呼びましょう」 | 「A さんが食べたいと望めば、口から食べさせてあげましょう」,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

A さん 92 歳、女性!は重度の障害のため体を動かすことができないが、表情な どで意思表示はできる。A さんは食べることが好きで「最期まで口から食べたい」 と言っていた。最近は誤嚥性肺炎で入 退院を繰り返しており、現在は入院中で終末 aspiration pneumonia 期である。同居している家族は積極的な治療をしないことを希望し、自宅でA さ んを看取ることを決めた。 家族への退院時の指導で適切なのはどれか。
1. 「24 時間付き添ってあげましょう」
2. 「オムツの重さで尿量を測定しましょう」
3. 「A さんの息が苦しそうになったら救急車を呼びましょう」
4. 「A さんが食べたいと望めば、口から食べさせてあげましょう」

答え："
113_2024-AM-58,EthicalLegal,Y,4,D,児童虐待の防止等に関する法律V児童虐待防止法Zに基づいて行う通告で正しいの はどれか。,警察に通告する。 | 守秘義務の遵守が優先される。 | 通告にあたっては児童自身の意思を尊重することが規定されている。 | 児童が同居している家庭における配偶者に対する暴力は通告の対象となる。,"次の問題に対して、最も適切な選択肢を1つだけ選び、その番号だけを半角数字で答えてください。番号以外の文字は一切出力しないでください。

児童虐待の防止等に関する法律V児童虐待防止法Zに基づいて行う通告で正しいの はどれか。
1. 警察に通告する。
2. 守秘義務の遵守が優先される。
3. 通告にあたっては児童自身の意思を尊重することが規定されている。
4. 児童が同居している家庭における配偶者に対する暴力は通告の対象となる。

答え："
