study,model,temp,item,k,category,recent,n_valid,NCI,accuracy,modal,phat,modal_correct,key
S1-EN,Claude,0.0,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,A-04,4,Knowledge,NA,28,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,A-05,4,Knowledge,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,A-09,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,A-10,4,Knowledge,NA,28,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,B-01,4,Ethical,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,B-02,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,B-03,4,Ethical,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.0,B-04,4,Ethical,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,B-05,4,Ethical,NA,29,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.0,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,B-07,4,Ethical,NA,29,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.0,B-08,4,Ethical,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,B-09,4,Ethical,NA,28,1.0,1.0,D,1.0,1,D
S1-EN,Claude,0.0,B-10,4,Ethical,NA,28,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,C-01,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,C-02,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,C-03,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,C-04,4,Priority,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.0,C-05,4,Priority,NA,28,1.0,1.0,D,1.0,1,D
S1-EN,Claude,0.0,C-06,4,Priority,NA,28,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.0,C-07,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.0,C-08,4,Priority,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.0,C-09,4,Priority,NA,30,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.0,C-10,4,Priority,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,A-01,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,A-02,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,A-03,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,A-04,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,A-05,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.5,A-06,4,Knowledge,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.5,A-07,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,A-08,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,A-09,4,Knowledge,NA,29,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.5,A-10,4,Knowledge,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,B-01,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.5,B-02,4,Ethical,NA,30,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,B-03,4,Ethical,NA,30,0.8945788498407339,0.9666666666666667,C,0.9666666666666667,1,C
S1-EN,Claude,0.5,B-04,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.5,B-05,4,Ethical,NA,29,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.5,B-06,4,Ethical,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.5,B-07,4,Ethical,NA,29,1.0,1.0,C,1.0,1,C
S1-EN,Claude,0.5,B-08,4,Ethical,NA,28,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,B-09,4,Ethical,NA,29,1.0,1.0,D,1.0,1,D
S1-EN,Claude,0.5,B-10,4,Ethical,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,C-01,4,Priority,NA,29,1.0,1.0,B,1.0,1,B
S1-EN,Claude,0.5,C-02,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
S1-EN,Claude,0.5,C-03,4,Priority,NA,30,1.0,1.0,A,1.0,1,A
