item_uid,category,recent,k,key,gpt-4o_NCI,gpt-4o_acc,claude-opus-4.5_NCI,claude-opus-4.5_acc,gemini-2.5-flash-lite_NCI,gemini-2.5-flash-lite_acc
107_2018-AM-32,EthicalLegal,N,4,A,1.0,1.0,1.0,1.0,1.0,1.0
107_2018-AM-60,EthicalLegal,N,4,A,1.0,1.0,1.0,1.0,1.0,1.0
107_2018-AM-78,EthicalLegal,N,5,C,1.0,1.0,1.0,1.0,0.894,0.95
108_2019-AM-59,EthicalLegal,N,4,A,1.0,1.0,1.0,1.0,1.0,1.0
108_2019-AM-63,EthicalLegal,N,4,C,1.0,1.0,1.0,1.0,1.0,1.0
108_2019-PM-48,EthicalLegal,N,4,D,1.0,1.0,1.0,1.0,1.0,1.0
108_2019-PM-70,EthicalLegal,N,4,D,1.0,1.0,1.0,1.0,1.0,1.0
109_2020-PM-35,EthicalLegal,N,4,B,1.0,1.0,1.0,1.0,1.0,1.0
109_2020-PM-38,EthicalLegal,N,4,D,1.0,1.0,1.0,1.0,1.0,1.0
109_2020-PM-60,EthicalLegal,N,4,B,0.974,0.992,1.0,1.0,1.0,1.0
109_2020-PM-69,EthicalLegal,N,4,B,1.0,1.0,1.0,1.0,0.851,0.0
110_2021-AM-29,EthicalLegal,N,4,A,1.0,1.0,1.0,1.0,1.0,1.0
110_2021-AM-52,EthicalLegal,N,4,B,1.0,1.0,1.0,1.0,1.0,1.0
110_2021-PM-43,EthicalLegal,N,4,C,1.0,1.0,1.0,1.0,1.0,1.0
111_2022-AM-60,EthicalLegal,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
111_2022-AM-73,EthicalLegal,Y,4,A,1.0,1.0,1.0,1.0,1.0,1.0
112_2023-AM-54,EthicalLegal,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
112_2023-AM-66,EthicalLegal,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
113_2024-AM-53,EthicalLegal,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
113_2024-AM-58,EthicalLegal,Y,4,D,0.572,0.633,1.0,1.0,0.831,0.908
113_2024-AM-60,EthicalLegal,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
113_2024-AM-64,EthicalLegal,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
114_2025-AM-61,EthicalLegal,Y,4,D,1.0,1.0,1.0,1.0,1.0,1.0
114_2025-AM-73,EthicalLegal,Y,4,C,1.0,1.0,1.0,1.0,1.0,1.0
114_2025-AM-75,EthicalLegal,Y,4,B,0.72,0.2,1.0,1.0,1.0,0.0
114_2025-PM-29,EthicalLegal,Y,4,C,1.0,1.0,1.0,0.0,1.0,1.0
115_2026-AM-31,EthicalLegal,Y,4,D,0.473,0.017,1.0,1.0,0.915,0.967
115_2026-AM-48,EthicalLegal,Y,4,B,1.0,1.0,1.0,1.0,1.0,1.0
