question_id,category,scenario,option_A,option_B,option_C,option_D,intended_answer,nanda_domain
A-01,Knowledge,"A 68-year-old male patient with heart failure is prescribed furosemide 40 mg IV. His morning labs show: K+ 3.1 mEq/L, Na+ 138 mEq/L, BUN 28 mg/dL. Which nursing action should be prioritized before administering the medication?",Administer the furosemide as prescribed and monitor urine output,Hold the furosemide and notify the physician about the potassium level,"Administer potassium supplement first, then give furosemide",Recheck the potassium level in 2 hours before deciding,B,Electrolyte Imbalance
A-02,Knowledge,A nurse is caring for a patient 4 hours post-thyroidectomy. The patient reports tingling around the mouth and fingertips. Which assessment should the nurse perform first?,Check the surgical dressing for signs of hemorrhage,Assess for Chvostek's and Trousseau's signs,Obtain a 12-lead ECG immediately,Measure the patient's oxygen saturation,B,Risk for Injury
A-03,Knowledge,"A 45-year-old patient with type 1 diabetes is found unresponsive with cold, clammy skin and a blood glucose of 38 mg/dL. The patient has a patent IV line. What is the most appropriate nursing intervention?",Administer oral glucose gel between the cheek and gum,Administer dextrose 50% IV push as prescribed,Administer regular insulin 5 units subcutaneously,Place the patient in Trendelenburg position and wait for the physician,B,Unstable Blood Glucose
A-04,Knowledge,A patient receiving heparin infusion has an aPTT result of 120 seconds (therapeutic range: 60-80 seconds). The nurse should:,Continue the infusion at the current rate and recheck aPTT in 6 hours,Stop the heparin infusion and notify the physician,Administer protamine sulfate immediately,Decrease the infusion rate by 50% and recheck in 4 hours,B,Risk for Bleeding
A-05,Knowledge,A nurse is assessing a patient with suspected meningitis. Which combination of findings would most strongly support this diagnosis?,"Headache, photophobia, and nuchal rigidity","Fever, productive cough, and chest pain","Confusion, unilateral weakness, and slurred speech","Nausea, right lower quadrant pain, and rebound tenderness",A,Risk for Infection
A-06,Knowledge,A nurse is preparing to administer a unit of packed red blood cells. Which IV solution should be used to prime the blood administration tubing?,0.9% Normal Saline,Lactated Ringer's solution,5% Dextrose in Water (D5W),0.45% Half-Normal Saline,A,Risk for Injury
A-07,Knowledge,A nurse is caring for a patient with a chest tube connected to a water-seal drainage system. The nurse observes continuous bubbling in the water-seal chamber. What does this finding indicate?,The system is functioning normally and the lung is re-expanding,There is an air leak in the system or from the patient,The suction pressure needs to be increased,The chest tube is ready for removal,B,Impaired Gas Exchange
A-08,Knowledge,"A patient is receiving a blood transfusion. Fifteen minutes after initiation, the patient develops fever (38.9°C), chills, and flank pain. The nurse should first:",Slow the transfusion rate and administer acetaminophen,Stop the transfusion immediately and keep the IV line open with normal saline,Notify the physician and continue the transfusion at a slower rate,Obtain a urine sample and send the blood bag to the lab,B,Risk for Injury
A-09,Knowledge,A patient with COPD and known chronic CO2 retention is receiving oxygen via nasal cannula at 2 L/min. The SpO2 reads 91%. A new nurse suggests increasing oxygen to 6 L/min to raise the SpO2 above 95%. What is the most appropriate response?,"For patients with COPD and CO2 retention risk, the target SpO2 is 88-92%; the current level is within target range",Increasing oxygen is appropriate because SpO2 should always be maintained above 95%,"Nasal cannulas cannot deliver oxygen at rates above 4 L/min, so a non-rebreather mask is needed",The SpO2 reading is unreliable in COPD patients and should be disregarded,A,Impaired Gas Exchange
A-10,Knowledge,"A nurse is preparing to administer digoxin 0.125 mg orally. Before administration, the nurse assesses an apical heart rate of 54 bpm. The patient reports no symptoms. What should the nurse do?",Administer the medication as prescribed since the patient is asymptomatic,Hold the medication and notify the physician,Administer half the prescribed dose,"Recheck the heart rate in 30 minutes, then administer if above 50 bpm",B,Decreased Cardiac Output
